Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX
2010-01-04,68.011421,21.093288,,35.052402,10.32808,34.258438,37.09,9.7,39.555584,11.80714,30.185892,68.553253,38.925758,21.082558,62.393692,25.92,8.219565,33.762466,49.555374,24.125,18.5,,39.233837,65.143013,10.73659,25.493008,313.68869,311.349976,13.435034,133.899994,19.479376,4.613761,25.047482,36.158329,23.119787,39.00684,18.282162,33.292377,23.760706,16.325373000000006,50.156246,21.753912,61.238926,25.395706,13.24179,44.639999,53.007484,34.439663,6.576353,95.472046,12.755713,27.406532,12.075658,,25.898104,34.659434999999995,16.764147,25.700129,18.350075,25.67,30.473948,158.029999,63.289791,29.915342,27.804329,12.154092,14.685472,24.456686,26.231838,20.731049,67.408302
2010-01-05,67.585449,20.922867,,35.269032,10.34636,34.543682000000004,37.700001,9.71,39.320488,11.686217,29.75597,69.100639,40.054996,20.853546,61.875996,26.690001,8.669789,33.700417,49.032913,23.780001,18.01,,38.84433,65.271538,10.98776,25.912161,312.307312,309.978882,13.441821,134.690002,19.402191,5.136074,24.760742,36.0788,22.686634,39.65306500000001,18.467808,34.068752,23.591177,16.253467999999998,49.721764,21.299328,62.960495,25.35561,13.232849,43.639999,53.584141,34.221813,6.492325,96.599289,13.075406,27.453915,11.982769,,26.038012,33.576981,16.674053,26.467043,18.260187,25.280001,30.310312,156.71000700000005,62.81434599999999,30.110174,29.435915,12.017476,15.162822,24.716038,26.051821,21.028234,66.782249
2010-01-06,68.5439,21.039061,,35.643974,10.291521,35.038105,37.619999,9.57,39.663349,11.565298,29.637066,70.454193,40.406845,20.779457,61.365765,26.469999,8.591999000000001,33.762466,48.775581,23.84,17.48,,38.970917,65.597809,11.072662,25.920546,304.434448,302.164703,13.638699,132.25,19.268866,4.923279,25.011644,36.662014,22.539663,39.859497,18.564665,34.544601,23.368114,16.270386,49.348106,21.379824,63.509129,25.307499,13.456377,43.349998,54.453548,34.21273,6.495272,98.114281,13.307182,27.017223,11.957436,,25.972164000000006,35.325573,16.681561,26.390352000000004,17.993002,25.34,30.239157,155.240005,62.22198100000001,30.045221,30.905691,12.040629,15.340657,24.344303,26.141829,21.472549,66.60215
2010-01-07,68.593048,21.213352,,35.610645,10.044743,36.131569,36.889999,9.47,39.653542,11.573935,30.579224,70.135712,40.840546,20.752512,61.013145,26.48,8.547215,33.523140000000005,49.227859,23.93,17.43,,38.659306,66.200897,11.132803,26.054676,297.347351,295.130463,13.618328,130.0,19.086426,5.0683669999999985,25.226704,37.256618,22.10651,39.751793,18.605021,34.803387,22.99337,16.312672,48.896252,21.237772,63.40509399999999,25.107029,13.349082,43.459999,56.47626500000001,34.112885,6.514437,96.62635,13.794713,26.967278000000004,11.830769,,25.7006,34.576164,16.576452,26.714161,17.790976999999994,25.48,30.224926,157.300003,62.346695,30.329365000000006,31.128174,12.012846,15.846087,25.373056,26.564846000000006,22.336945,66.584999
2010-01-08,69.076401,21.321806,,35.469002,9.962484,36.264675,36.689999,9.43,39.810265,11.90215,29.91148,69.488785,40.431412,20.745781,61.40332,26.48,8.377498,34.02837,49.064114,23.975,17.66,,38.376904,66.912735,11.348595,26.163662,301.31131,299.06488,13.652273999999998,133.520004,18.953102,4.971642,25.527796,37.230007,22.694368,39.832573,18.564665,34.928612,23.243193,16.629885,49.330727,21.394028,63.433453,25.251362,13.197083,43.759998,56.724667,34.394276,6.610258999999999,96.121315,13.475021,27.146566,12.28677,,25.379654,35.42963,16.621504,26.731203000000004,17.660639,26.26,30.182234,155.279999,61.879032,30.905754,31.755184000000003,12.056839,15.705688,25.528666,26.627857,22.086517,66.816574
2010-01-11,68.797844,21.43025,,35.435677,9.953345,36.378784,36.209999,9.14,39.418449,11.979886,29.948065000000003,69.956558,41.495182,20.759249,62.52874,26.389999,8.325636,33.877693,49.321438,23.83,17.540001,,38.72747,66.981934,11.32383,26.163662,300.855865,298.612823,13.754108,130.309998,19.107479,4.874918,25.793034,36.804005,22.918678,39.473553,18.750313,35.37941,23.501951,16.727154000000002,49.54797,21.446125,62.72401800000001,25.107029,12.875202,43.93,57.052914,34.539513,6.579300999999999,96.409927,13.578918,26.907093,12.556997,,25.396109,36.324734,16.644023999999998,26.918665,17.575916,26.25,30.317411,155.479996,62.728626,31.425316,31.418083000000006,11.994319,15.846087,25.087770000000006,26.47485,22.086517,67.245354
2010-01-12,68.855202,21.368284,,35.210705,9.843665,36.606979,35.66,8.65,38.73275,11.84169,27.999704,69.43903399999999,41.282425,20.510031,61.73342099999999,26.16,8.511858,33.407902,49.391613,23.5,17.23,,38.67878,65.88452099999999,11.327367,26.138506,295.535522,293.332153,13.679426,127.349998,19.086426,4.913606,25.534964,37.29213,22.013685,38.988888,18.661528,34.811733000000004,23.662556,16.384583,48.687706,20.977327,60.671383,24.064577,12.624854,42.740002,56.298836,34.48505,6.533601999999999,94.949028,13.227255,26.601023,11.99121,,25.124537,32.307175,16.741619,26.671553000000007,17.569401,25.889999,30.103956,155.139999,61.255489,31.100592,30.818039,11.975797,15.312579,25.131001,26.893373,22.15922,66.250519
2010-01-13,68.63401800000001,21.571161,,35.610645,9.971622,37.006332,36.279999,9.15,39.271503,12.161267,28.127768,70.18547099999999,41.732483,20.671688,62.348667000000006,26.040001,8.801795,33.744732,49.524181,23.57,17.58,,39.818115,65.864761,11.433493,26.37323,293.838837,291.648102,13.740528,129.110001,19.212725,5.300506,25.850384,37.407501,22.477787,39.814617,18.742237,35.237492,24.126528,16.431101,49.122189,21.3088,62.87536600000001,24.056555,12.133091,43.040001,57.638432,34.548595,6.496747,96.328758,13.594904,26.976244,12.050326,,25.231522,33.264725,16.734118,26.918665,17.360863000000002,26.25,30.324535,154.75,62.681858,32.269604,31.384369,12.024419,15.555933,25.321192,27.167885,22.538906,66.46491999999999
2010-01-14,68.40460999999999,21.594566,,35.927254,9.925924,36.910927,35.900002,9.0,38.752331,12.169907,28.731485,68.89164,42.280743,20.981525,61.575871,26.879999,8.815936,33.611774,49.508595,23.834999,17.129998999999998,,40.022598,65.93396,11.560849,26.524132,295.220215,293.019196,13.83557,127.349998,19.282904,5.406903,25.950748,37.877865,22.121979,40.039017,18.548521,35.07888,24.278208,16.435335000000002,48.800667,21.446125,63.159161,24.032501,12.231444,43.490002,58.747383,34.27626,6.527705,96.851776,13.443048999999998,26.820007,12.117882,,25.297358,32.910854,16.689073999999998,26.63747,17.067608,26.6,30.239157,154.380005,62.307716000000006,32.302078,32.045101,11.968849,15.743128,25.286606,27.770908,23.039774,66.070435
2010-01-15,68.298149,21.649187,,35.668976,9.953345,36.243118,35.869999,8.84,38.507431,12.126719,28.685741,67.438568,41.822487,20.496559,62.10106700000001,26.610001,8.500072,33.585182,48.90035200000001,23.705,16.93,,39.82785,64.895859,11.571463,25.912161,290.290283,288.126007,13.862726,127.139999,19.18466,5.319851,25.814537,37.620495,21.70429,39.491508,18.241798,34.744949,24.019457,16.257698,48.878864,20.759508,62.326744,23.222593,12.311913,43.34,59.128864,34.094727,6.477583,97.086273,13.131352,26.371792,11.59432,,25.132771,32.536148,16.516394000000002,26.015415,16.806932,26.08,30.075514,155.080002,61.910194,32.0504,31.876549,11.904016,15.218979,25.09642,27.707912,22.425812,65.427238
