Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.05,14.57,14.03,14.3,12.075658,18615100
2010-01-05,14.24,14.38,14.04,14.19,11.982769000000001,15173200
2010-01-06,14.23,14.4,14.1,14.16,11.957436,13704800
2010-01-07,14.14,14.21,13.96,14.01,11.830769,21543200
2010-01-08,14.24,14.59,14.11,14.55,12.286769999999999,41212100
2010-01-11,14.84,14.94,14.45,14.87,12.556997,33667800
2010-01-12,14.76,14.77,14.03,14.2,11.99121,40350900
2010-01-13,14.29,14.42,13.92,14.27,12.050326,25137300
2010-01-14,14.22,14.38,14.02,14.35,12.117882,26920500
2010-01-15,14.16,14.34,13.67,13.73,11.59432,36020100
2010-01-19,13.77,14.02,13.75,13.97,11.796988,14620900
2010-01-20,13.83,13.89,13.65,13.8,11.653432,19220200
2010-01-21,13.86,14.09,13.52,13.58,11.467654,25265000
2010-01-22,13.35,13.39,12.61,12.63,10.665426,48104300
2010-01-25,12.66,12.94,12.59,12.64,10.673867,39765000
2010-01-26,12.72,13.01,12.64,12.65,10.682313,36897100
2010-01-27,12.75,13.07,12.69,13.04,11.011648,30448800
2010-01-28,13.08,13.09,12.35,12.61,10.648537,35016600
2010-01-29,12.78,12.85,12.15,12.18,10.285421000000001,25601600
2010-02-01,12.34,12.56,12.23,12.52,10.572535,20227300
2010-02-02,12.59,12.59,12.35,12.51,10.564091000000001,21525000
2010-02-03,12.35,12.48,12.12,12.28,10.369864999999999,36170300
2010-02-04,12.22,12.22,11.66,11.8,9.96453,40737400
2010-02-05,11.8,12.27,11.68,12.23,10.327644,43781500
2010-02-08,12.25,12.33,12.03,12.07,10.192530999999999,17976400
2010-02-09,12.24,12.4,12.04,12.15,10.260087,21123700
2010-02-10,12.2,12.32,12.1,12.23,10.327644,17213400
2010-02-11,12.22,12.53,12.06,12.47,10.530312,18388100
2010-02-12,12.3,12.72,12.15,12.47,10.530312,23748600
2010-02-16,12.67,12.97,12.56,12.95,10.935647,21663600
2010-02-17,13.09,13.15,12.75,12.99,10.969428,25202600
2010-02-18,12.78,12.79,12.31,12.68,10.707645,45212200
2010-02-19,12.62,12.64,12.35,12.5,10.555646000000001,29090400
